Country,Year,Gold,Silver,Bronze,Total,Country Code,Population
Australia,1994,0,0,1,1,AUS,17855000
Australia,1998,0,0,1,1,AUS,18711000
Australia,2002,2,0,0,2,AUS,19651400
Australia,2006,1,0,1,2,AUS,20697900
Australia,2010,2,1,0,3,AUS,22031750
Australia,2014,0,2,1,3,AUS,23475686
Australia,2018,0,2,1,3,AUS,24982688
Australia,2018,0,2,1,3,AUS,24909936
Australia,2022,1,2,1,4,AUS,26351036
Austria,1988,3,5,2,10,AUT,7585317
Austria,1992,6,7,8,21,AUT,7840709
Austria,1994,2,3,4,9,AUT,7936118
Austria,1998,3,5,9,17,AUT,7976789
Austria,2002,3,4,10,17,AUT,8081957
Austria,2006,9,7,7,23,AUT,8268641
Austria,2010,4,6,6,16,AUT,8363404
Austria,2014,4,8,5,17,AUT,8546356
Austria,2018,5,3,6,14,AUT,8840521
Austria,2018,5,3,6,14,AUT,8877599
Austria,2022,7,7,4,18,AUT,9188091
Belarus,1994,0,2,0,2,BLR,10227000
Belarus,1998,0,0,2,2,BLR,10069000
Belarus,2002,0,0,1,1,BLR,9865548
Belarus,2006,0,1,0,1,BLR,9604924
Belarus,2010,1,1,1,3,BLR,9490583
Belarus,2014,5,0,1,6,BLR,9474511
Belarus,2018,2,1,0,3,BLR,9483499
Belarus,2018,2,1,0,3,BLR,9518309
Belarus,2022,0,2,0,2,BLR,9557388
Belgium,1998,0,0,1,1,BEL,10203008
Belgium,2018,0,1,0,1,BEL,11433256
Belgium,2018,0,1,0,1,BEL,11441710
Belgium,2022,1,0,1,2,BEL,11667218
Bulgaria,1998,1,0,0,1,BGR,8256786
Bulgaria,2002,0,1,2,3,BGR,7837161
Bulgaria,2006,0,1,0,1,BGR,7601022
Canada,1988,0,2,3,5,CAN,26791747
Canada,1992,2,3,2,7,CAN,28371264
Canada,1994,3,6,4,13,CAN,29000663
Canada,1998,6,5,4,15,CAN,30155173
Canada,2002,7,3,7,17,CAN,31360079
Canada,2006,7,10,7,24,CAN,32571174
Canada,2010,14,7,5,26,CAN,34004889
Canada,2014,10,10,5,25,CAN,35437435
Canada,2018,11,8,10,29,CAN,37057765
Canada,2018,11,8,10,29,CAN,36773595
Canada,2022,4,8,14,26,CAN,38137788
China,1992,0,3,0,3,CHN,1164970000
China,1994,0,1,2,3,CHN,1191835000
China,1998,0,6,2,8,CHN,1241935000
China,2002,2,2,4,8,CHN,1280400000
China,2006,2,4,5,11,CHN,1311020000
China,2010,5,2,4,11,CHN,1337705000
China,2014,3,4,2,9,CHN,1364270000
China,2018,1,6,2,9,CHN,1392730000
China,2018,1,6,2,9,CHN,1392358000
China,2022,9,4,2,15,CHN,1420270000
Croatia,2002,3,1,0,4,HRV,4302174
Croatia,2006,1,2,0,3,HRV,4311159
Croatia,2010,0,2,1,3,HRV,4295427
Croatia,2014,0,1,0,1,HRV,4238389
Czech Republic,1998,1,1,1,3,CZE,10294373
Czech Republic,2002,1,2,0,3,CZE,10196916
Czech Republic,2006,1,2,1,4,CZE,10238905
Czech Republic,2010,2,0,4,6,CZE,10474410
Czech Republic,2014,2,4,3,9,CZE,10525347
Czech Republic,2018,2,2,3,7,CZE,10629928
Czech Republic,2018,2,2,3,7,CZE,10589711
Czech Republic,2022,1,0,1,2,CZE,10646864
Czechoslovakia,1988,0,1,2,3,TCH,10355276
Czechoslovakia,1992,0,0,3,3,TCH,10319123
Denmark,1998,0,1,0,1,DNK,5304219
Estonia,2002,1,1,1,3,EST,1379350
Estonia,2006,3,0,0,3,EST,1346810
Estonia,2010,0,1,0,1,EST,1331475
Estonia,2022,0,0,1,1,EST,1304165
Finland,1988,4,1,2,7,FIN,4946481
Finland,1992,3,1,3,7,FIN,5041992
Finland,1994,0,1,5,6,FIN,5088333
Finland,1998,2,4,6,12,FIN,5153498
Finland,2002,4,2,1,7,FIN,5200598
Finland,2006,0,6,3,9,FIN,5266268
Finland,2010,0,1,4,5,FIN,5363352
Finland,2014,1,3,1,5,FIN,5461512
Finland,2018,1,1,4,6,FIN,5515525
Finland,2018,1,1,4,6,FIN,5539147
Finland,2022,2,2,4,8,FIN,5620436
France,1988,1,0,1,2,FRA,57627105
France,1992,3,5,1,9,FRA,58851217
France,1994,0,1,4,5,FRA,59327192
France,1998,2,1,5,8,FRA,60186288
France,2002,4,5,2,11,FRA,61805267
France,2006,3,2,4,9,FRA,63621381
France,2010,2,3,6,11,FRA,65027507
France,2014,4,4,7,15,FRA,66312067
France,2018,5,4,6,15,FRA,66977107
France,2018,5,4,6,15,FRA,67317010
France,2022,5,7,2,14,FRA,68386001
Germany,1988,11,14,8,33,DEU,78144619
Germany,1992,10,10,6,26,DEU,80624598
Germany,1994,9,7,8,24,DEU,81438348
Germany,1998,12,9,8,29,DEU,82047195
Germany,2002,12,16,8,36,DEU,82488495
Germany,2006,11,12,6,29,DEU,82376451
Germany,2010,10,13,7,30,DEU,81776930
Germany,2014,8,6,5,19,DEU,80982500
Germany,2018,14,10,7,31,DEU,82905782
Germany,2018,14,10,7,31,DEU,83172521
Germany,2022,12,10,5,27,DEU,85127200
Great Britain,1994,0,0,2,2,GBR,57865745
Great Britain,1998,0,0,1,1,GBR,58487141
Great Britain,2002,1,0,1,2,GBR,59370479
Great Britain,2006,0,1,0,1,GBR,60846820
Great Britain,2010,1,0,0,1,GBR,62766365
Great Britain,2014,1,1,3,5,GBR,64602298
Great Britain,2018,1,0,4,5,GBR,66460344
Great Britain,2018,1,0,4,5,GBR,66556000
Great Britain,2022,1,1,0,2,GBR,68480281
Hungary,2018,1,0,0,1,HUN,9775564
Hungary,2018,1,0,0,1,HUN,9762300
Hungary,2022,1,0,2,3,HUN,9657207
Italy,1988,2,1,2,5,ITA,56629288
Italy,1992,4,6,4,14,ITA,56797087
Italy,1994,7,5,8,20,ITA,56843400
Italy,1998,2,6,2,10,ITA,56906744
Italy,2002,4,4,5,13,ITA,57059007
Italy,2006,5,0,6,11,ITA,58143979
Italy,2010,1,1,3,5,ITA,59277417
Italy,2014,0,2,6,8,ITA,60789140
Italy,2018,3,2,5,10,ITA,60421760
Italy,2018,3,2,5,10,ITA,61453055
Italy,2022,2,7,8,17,ITA,62521934
Japan,1988,0,0,1,1,JPN,122613000
Japan,1992,1,2,4,7,JPN,124229000
Japan,1994,1,2,2,5,JPN,124961000
Japan,1998,5,1,4,10,JPN,126400000
Japan,2002,0,1,1,2,JPN,127445000
Japan,2006,1,0,0,1,JPN,127854000
Japan,2010,0,3,2,5,JPN,128070000
Japan,2014,1,4,3,8,JPN,127276000
Japan,2018,4,5,4,13,JPN,126529100
Japan,2018,4,5,4,13,JPN,126667911
Japan,2022,3,6,9,18,JPN,126038720
Kazakhstan,1994,1,2,0,3,KAZ,16095199
Kazakhstan,1998,0,0,2,2,KAZ,15071300
Kazakhstan,2010,0,1,0,1,KAZ,16321872
Kazakhstan,2014,0,0,1,1,KAZ,17288285
Kazakhstan,2018,0,0,1,1,KAZ,18272430
Kazakhstan,2018,0,0,1,1,KAZ,18295032
Latvia,2006,0,0,1,1,LVA,2218357
Latvia,2010,0,2,0,2,LVA,2097555
Latvia,2014,1,1,3,5,LVA,1993782
Latvia,2018,0,0,1,1,LVA,1927174
Latvia,2018,0,0,1,1,LVA,1921689
Latvia,2022,0,0,1,1,LVA,1847815
Liechtenstein,1988,0,0,1,1,LIE,28129
Liechtenstein,2018,0,0,1,1,LIE,37910
Liechtenstein,2018,0,0,1,1,LIE,38229
Luxembourg,1992,0,2,0,2,LUX,392175
Netherlands,1988,3,2,2,7,NLD,14760094
Netherlands,1992,1,1,2,4,NLD,15184166
Netherlands,1994,0,1,3,4,NLD,15382838
Netherlands,1998,5,4,2,11,NLD,15707209
Netherlands,2002,3,5,0,8,NLD,16148929
Netherlands,2006,3,2,4,9,NLD,16346101
Netherlands,2010,4,1,3,8,NLD,16615394
Netherlands,2014,8,7,9,24,NLD,16865008
Netherlands,2018,8,6,6,20,NLD,17231624
Netherlands,2018,8,6,6,20,NLD,17153406
Netherlands,2022,8,5,4,17,NLD,17427884
New Zealand,1992,0,1,0,1,NZL,3531700
New Zealand,2018,0,0,2,2,NZL,4841000
New Zealand,2018,0,0,2,2,NZL,4819280
New Zealand,2022,2,1,0,3,NZL,5108800
North Korea,1992,0,0,1,1,PRK,20937404
Norway,1988,0,3,2,5,NOR,4209488
Norway,1992,9,6,5,20,NOR,4286401
Norway,1994,10,11,5,26,NOR,4336613
Norway,1998,10,10,5,25,NOR,4431464
Norway,2002,13,5,7,25,NOR,4538159
Norway,2006,2,8,9,19,NOR,4660677
Norway,2010,9,8,6,23,NOR,4889252
Norway,2014,11,6,9,26,NOR,5137232
Norway,2018,14,14,11,39,NOR,5311916
Norway,2018,14,14,11,39,NOR,5348061
Norway,2022,16,8,13,37,NOR,5564412
Poland,2002,0,1,1,2,POL,38230364
Poland,2006,0,1,1,2,POL,38141267
Poland,2010,1,3,2,6,POL,38042794
Poland,2014,4,1,1,6,POL,38011735
Poland,2018,1,0,1,2,POL,37974750
Poland,2018,1,0,1,2,POL,37918344
Poland,2022,0,0,1,1,POL,37822368
Russia,1994,11,8,4,23,RUS,148336000
Russia,1998,9,6,3,18,RUS,147670692
Russia,2002,5,4,4,13,RUS,145306046
Russia,2006,8,6,8,22,RUS,143049528
Russia,2010,3,5,7,15,RUS,142849449
Russia,2014,11,10,9,30,RUS,143819666
Russia,2018,2,6,9,17,RUS,144478050
Russia,2018,2,6,9,17,RUS,144942063
Russia,2022,6,12,14,32,RUS,146090623
Slovakia,2006,0,1,0,1,SVK,5373054
Slovakia,2010,1,1,1,3,SVK,5391428
Slovakia,2014,1,0,0,1,SVK,5418649
Slovakia,2018,1,2,0,3,SVK,5446771
Slovakia,2018,1,2,0,3,SVK,5441582
Slovakia,2022,1,0,1,2,SVK,5464321
Slovenia,1994,0,0,3,3,SVN,1989443
Slovenia,2002,0,0,1,1,SVN,1994530
Slovenia,2010,0,2,1,3,SVN,2048583
Slovenia,2014,2,2,4,8,SVN,2061980
Slovenia,2018,0,1,1,2,SVN,2073894
Slovenia,2018,0,1,1,2,SVN,2069271
Slovenia,2022,2,3,2,7,SVN,2077008
South Korea,1992,2,1,1,4,KOR,43747962
South Korea,1994,4,1,1,6,KOR,44641540
South Korea,1998,3,1,2,6,KOR,46286503
South Korea,2002,2,2,0,4,KOR,47644736
South Korea,2006,6,3,2,11,KOR,48438292
South Korea,2010,6,6,2,14,KOR,49554112
South Korea,2014,3,3,2,8,KOR,50746659
South Korea,2018,5,8,4,17,KOR,51606633
South Korea,2018,5,8,4,17,KOR,51770413
South Korea,2022,2,5,2,9,KOR,52819194
Soviet Union,1988,11,9,9,29,USR,278778899
Soviet Union,1992,9,6,8,23,USR,284868688
Spain,1992,0,0,1,1,ESP,39157685
Spain,2018,0,0,2,2,ESP,46796540
Spain,2018,0,0,2,2,ESP,46259296
Spain,2022,0,1,0,1,ESP,45958016
Sweden,1988,4,0,2,6,SWE,8436489
Sweden,1992,1,0,3,4,SWE,8668067
Sweden,1994,2,1,0,3,SWE,8780745
Sweden,1998,0,2,1,3,SWE,8850974
Sweden,2002,0,2,5,7,SWE,8924958
Sweden,2006,7,2,5,14,SWE,9080505
Sweden,2010,5,2,4,11,SWE,9378126
Sweden,2014,2,7,6,15,SWE,9696110
Sweden,2018,7,6,1,14,SWE,10175214
Sweden,2018,7,6,1,14,SWE,10110118
Sweden,2022,8,5,5,18,SWE,10512610
Switzerland,1988,5,5,5,15,CHE,6593386
Switzerland,1992,1,0,2,3,CHE,6875364
Switzerland,1994,3,4,2,9,CHE,6993795
Switzerland,1998,2,2,3,7,CHE,7110001
Switzerland,2002,3,2,6,11,CHE,7284753
Switzerland,2006,5,4,5,14,CHE,7483934
Switzerland,2010,6,0,3,9,CHE,7824909
Switzerland,2014,7,2,2,11,CHE,8188649
Switzerland,2018,5,6,4,15,CHE,8513227
Switzerland,2018,5,6,4,15,CHE,8564520
Switzerland,2022,7,2,5,14,CHE,8942921
Ukraine,1994,1,0,1,2,UKR,51921041
Ukraine,1998,0,1,0,1,UKR,50143939
Ukraine,2006,0,0,2,2,UKR,46787750
Ukraine,2014,1,0,1,2,UKR,45271947
Ukraine,2018,1,0,0,1,UKR,44622516
Ukraine,2018,1,0,0,1,UKR,44697552
Ukraine,2022,0,1,0,1,UKR,44092399
United States,1988,2,1,3,6,USA,244499000
United States,1992,5,4,2,11,USA,256514000
United States,1994,6,5,2,13,USA,263126000
United States,1998,6,3,4,13,USA,275854000
United States,2002,10,13,11,34,USA,287625193
United States,2006,9,9,7,25,USA,298379912
United States,2010,9,15,13,37,USA,309321666
United States,2014,9,9,10,28,USA,318301008
United States,2018,9,8,6,23,USA,326687501
United States,2018,9,8,6,23,USA,327485273
United States,2022,8,10,7,25,USA,336630109
Uzbekistan,1994,1,0,0,1,UZB,22377000
Yugoslavia,1988,0,2,1,3,YUG,9872081
